Tiempoinicio,col1,col2,col3,col4,col5,col6,col7,col8
2015-10-06 00:00:00,0.0,3.01,-1.01,-4.95,-0.0,-4.97,-1.01,-2.08
2015-10-06 00:00:10,-0.0,2.95,-0.99,-5.09,-0.0,-5.04,-1.02,-1.98
2015-10-06 00:00:20,-0.0,2.92,-0.99,-5.04,-0.0,-4.99,-0.99,-2.02
2015-10-06 00:00:30,-0.0,2.91,-1.0,-5.35,-0.1,-4.97,-0.97,-1.97
2015-10-06 00:00:40,-0.0,2.84,-0.98,-5.3,-0.1,-5.0,-0.99,-1.95
2015-10-06 00:00:50,-0.0,2.81,-0.99,-5.03,-0.1,-4.96,-0.98,-1.96
2015-10-06 00:01:00,-0.0,2.76,-0.97,-4.52,-0.0,-5.0,-0.97,-1.97
2015-10-06 00:01:10,-0.0,2.75,-0.97,-4.91,-0.1,-4.94,-0.95,-2.08
2015-10-06 00:01:20,-0.0,2.69,-0.97,-4.91,-0.2,-4.94,-0.95,-1.9
2015-10-06 00:01:30,-0.0,2.67,-0.97,-4.28,-0.2,-4.94,-0.96,-1.84
2015-10-06 00:01:40,-0.0,2.62,-0.93,-4.35,-0.2,-4.91,-0.95,-1.9
2015-10-06 00:01:50,-0.0,2.57,-0.91,-4.36,-0.2,-4.96,-0.91,-1.81
2015-10-06 00:02:00,-0.0,2.51,-0.9,-3.75,-0.2,-4.93,-0.92,-1.82
2015-10-06 00:02:10,-0.0,2.5,-0.89,-4.51,-0.2,-4.99,-0.89,-1.86
2015-10-06 00:02:20,-0.0,2.48,-0.9,-3.73,-0.3,-4.89,-0.88,-1.79
2015-10-06 00:02:30,-0.0,2.44,-0.87,-3.54,-0.2,-4.88,-0.87,-1.73
2015-10-06 00:02:40,-0.0,2.42,-0.85,-3.61,-0.3,-4.79,-0.87,-1.64
2015-10-06 00:02:50,-0.0,2.35,-0.82,-4.17,-0.3,-4.73,-0.82,-1.74
2015-10-06 00:03:00,-0.0,2.34,-0.82,-3.44,-0.4,-4.79,-0.81,-1.68
2015-10-06 00:03:10,-0.0,2.31,-0.78,-3.53,-0.4,-4.78,-0.81,-1.6
2015-10-06 00:03:20,-0.0,2.26,-0.76,-3.08,-0.4,-4.75,-0.78,-1.63
2015-10-06 00:03:30,-0.0,2.22,-0.72,-2.38,-0.4,-4.7,-0.76,-1.55
2015-10-06 00:03:40,-0.0,2.21,-0.72,-2.96,-0.4,-4.77,-0.74,-1.47
2015-10-06 00:03:50,-0.0,2.18,-0.67,-2.48,-0.4,-4.64,-0.68,-1.33
2015-10-06 00:04:00,-0.0,2.12,-0.66,-2.86,-0.4,-4.65,-0.67,-1.35
2015-10-06 00:04:10,-0.0,2.1,-0.64,-2.49,-0.4,-4.66,-0.64,-1.35
2015-10-06 00:04:20,-0.0,2.04,-0.62,-1.67,-0.4,-4.63,-0.62,-1.34
2015-10-06 00:04:30,-0.0,2.02,-0.61,-1.93,-0.5,-4.55,-0.6,-1.14
2015-10-06 00:04:40,-1.0,2.0,-0.54,-1.53,-0.6,-4.51,-0.55,-1.2
2015-10-06 00:04:50,-1.0,1.96,-0.56,-1.45,-0.5,-4.49,-0.57,-1.27
2015-10-06 00:05:00,-0.0,1.92,-0.5,-1.28,-0.5,-4.43,-0.52,-1.17
2015-10-06 00:05:10,-1.0,1.89,-0.48,-1.16,-0.6,-4.42,-0.48,-1.08
2015-10-06 00:05:20,-1.0,1.86,-0.45,-0.68,-0.6,-4.37,-0.45,-0.97
2015-10-06 00:05:30,-1.0,1.84,-0.38,-0.52,-0.6,-4.36,-0.39,-0.82
2015-10-06 00:05:40,-1.0,1.83,-0.39,-0.66,-0.5,-4.36,-0.39,-0.83
2015-10-06 00:05:50,-1.0,1.76,-0.37,-0.35,-0.7,-4.24,-0.36,-0.71
2015-10-06 00:06:00,-1.0,1.74,-0.34,-0.01,-0.6,-4.21,-0.31,-0.86
2015-10-06 00:06:10,-1.0,1.73,-0.29,0.56,-0.6,-4.24,-0.26,-0.78
2015-10-06 00:06:20,-1.0,1.68,-0.26,0.4,-0.7,-4.16,-0.27,-0.73
2015-10-06 00:06:30,-1.0,1.66,-0.22,0.35,-0.7,-4.1,-0.23,-0.67
2015-10-06 00:06:40,-1.0,1.67,-0.18,0.57,-0.7,-4.03,-0.19,-0.51
2015-10-06 00:06:50,-1.0,1.59,-0.15,0.76,-0.7,-3.97,-0.14,-0.41
2015-10-06 00:07:00,-1.0,1.59,-0.11,0.59,-0.7,-3.94,-0.09,-0.37
2015-10-06 00:07:10,-1.0,1.52,-0.07,1.39,-0.8,-3.88,-0.07,-0.38
2015-10-06 00:07:20,-1.0,1.54,-0.04,1.43,-0.8,-3.82,-0.06,-0.37
2015-10-06 00:07:30,-1.0,1.5,-0.01,1.54,-0.7,-3.84,-0.02,-0.37
2015-10-06 00:07:40,-1.0,1.48,0.02,2.06,-0.7,-3.75,0.02,-0.25
2015-10-06 00:07:50,-1.0,1.44,0.03,1.89,-0.7,-3.63,0.06,-0.23
2015-10-06 00:08:00,-1.0,1.43,0.1,2.17,-0.8,-3.68,0.09,-0.27
2015-10-06 00:08:10,-1.0,1.41,0.14,1.85,-0.8,-3.59,0.15,-0.19
2015-10-06 00:08:20,-1.0,1.37,0.15,2.18,-0.8,-3.54,0.15,-0.19
2015-10-06 00:08:30,-1.0,1.36,0.2,2.24,-0.8,-3.46,0.19,-0.17
2015-10-06 00:08:40,-1.0,1.32,0.24,2.56,-0.8,-3.49,0.24,-0.05
2015-10-06 00:08:50,-1.0,1.31,0.26,2.82,-0.8,-3.36,0.27,-0.16
2015-10-06 00:09:00,-1.0,1.29,0.29,2.76,-0.9,-3.32,0.28,-0.17
2015-10-06 00:09:10,-1.0,1.28,0.33,2.59,-0.8,-3.22,0.35,-0.1
2015-10-06 00:09:20,-1.0,1.25,0.35,3.16,-0.9,-3.17,0.37,-0.06
2015-10-06 00:09:30,-1.0,1.22,0.39,2.47,-0.9,-3.12,0.4,0.04
2015-10-06 00:09:40,-1.0,1.23,0.42,2.79,-0.8,-3.05,0.43,-0.01
2015-10-06 00:09:50,-1.0,1.2,0.45,3.13,-0.9,-3.02,0.44,0.04
2015-10-06 00:10:00,-1.0,1.17,0.47,2.96,-0.9,-2.87,0.48,0.02
2015-10-06 00:10:10,-1.0,1.18,0.53,2.54,-1.0,-2.87,0.54,0.01
2015-10-06 00:10:20,-1.0,1.14,0.55,3.16,-0.9,-2.74,0.56,-0.0
2015-10-06 00:10:30,-1.0,1.14,0.56,3.23,-0.9,-2.7,0.57,-0.07
2015-10-06 00:10:40,-1.0,1.14,0.58,2.56,-0.9,-2.69,0.61,-0.0
2015-10-06 00:10:50,-1.0,1.13,0.62,3.63,-1.0,-2.63,0.63,-0.12
2015-10-06 00:11:00,-1.0,1.1,0.65,3.19,-0.9,-2.56,0.67,-0.06
2015-10-06 00:11:10,-1.0,1.11,0.68,3.38,-0.9,-2.52,0.69,0.04
2015-10-06 00:11:20,-1.0,1.08,0.68,3.41,-1.0,-2.43,0.7,0.01
2015-10-06 00:11:30,-1.0,1.08,0.73,3.03,-1.0,-2.33,0.73,-0.06
