Tiempoinicio                    	APHu                            	APVs                            	ACPv                            	ZSx                             	ZUs                             	H7x                             	H1x                             	H2x                             	H6x                             	H3x                             	H4x                             	H5x                             	ACPx                            	Svo                             
                     	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
06-sep-2015 21:58:05 	44.7             	69.0             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.1             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00
06-abr-2015 21:58:05 	44.7             	69.0             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.1             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00
06-oct-2015 21:57:03 	44.6             	69.3             	3.81             	0.60             	8.81             	3276.7           	44.7             	33.2             	39.6             	37.6             	38.5             	39.5             	3.27             	36.00
06-oct-2015 21:57:12 	45.1             	69.0             	3.80             	0.60             	8.82             	3276.7           	44.7             	33.2             	39.6             	37.5             	38.5             	39.5             	3.26             	36.01            
06-oct-2015 21:57:21 	44.8             	69.8             	3.80             	0.60             	8.84             	3276.7           	44.7             	33.2             	39.5             	37.5             	38.5             	39.5             	3.40             	36.01            
06-oct-2015 21:57:30 	45.2             	68.8             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.2             	39.4             	37.5             	38.5             	39.5             	3.40             	36.00            
06-oct-2015 21:57:39 	44.5             	68.8             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.2             	39.4             	37.5             	38.5             	39.5             	3.27             	36.00            
06-oct-2015 21:57:47 	44.8             	68.5             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.2             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00            
06-oct-2015 21:57:56 	45.0             	69.5             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.2             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00            
06-oct-2015 21:58:05 	44.7             	69.0             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.1             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00            
06-abr-2015 21:58:05 	44.7             	69.0             	3.81             	0.60             	8.82             	3276.7           	44.7             	33.1             	39.5             	37.5             	38.4             	39.5             	3.27             	36.00
